vh,vv,hh,hv,Class of Land
0.065338857,0.137559474,5671,1499,Rice
0.029045066,0.103210315,2808,1386,Rice
0.056547012,0.279271781,1880,766,Rice
0.0350697,0.154607356,2815,981,Rice
0.04190303,0.191198483,2654,1346,Rice
0.133785844,0.168401659,2302,926,Rice
0.013499334,0.0528658,1939,1084,Rice
0.036314767,0.079650789,2019,1028,Rice
0.051746387,0.27324456,2380,923,Rice
0.036743887,0.12933667,2041,983,Rice
0.059478138,0.065217204,2078,1041,Rice
0.033181764,0.136670336,3380,1431,Rice
0.056124054,0.192923263,2311,928,Rice
0.083599262,0.162507743,3194,797,Rice
0.019799164,0.07933569,2571,1136,Rice
0.045539849,0.324929208,2327,1525,Rice
0.020103788,0.113154359,2834,670,Rice
0.043439839,0.073708542,2742,1636,Rice
0.036718942,0.035414644,2323,1038,Rice
0.014492401,0.09830118,3173,1419,Rice
0.093984246,0.154883534,3917,1397,Rice
0.041099939,0.070766352,3467,1370,Rice
0.024540255,0.052236978,2827,1424,Rice
0.015419811,0.122295827,2921,1160,Rice
0.068670884,0.378511965,1465,772,Rice
0.027385421,0.121522143,2387,801,Rice
0.052654766,0.312404066,1443,705,Rice
0.034298629,0.043283176,2052,953,Rice
0.035907641,0.141943693,2410,855,Rice
0.008376793,0.228858426,1087,577,Rice
0.051521711,0.399610609,3202,1407,Rice
0.043637849,0.140651047,1832,638,Rice
0.036236629,0.094443366,2790,1240,Rice
0.031710349,0.197321281,4674,1638,Rice
0.045085784,0.220785305,1380,515,Rice
0.018830467,0.203932151,2923,913,Rice
0.021021739,0.12487293,4316,1646,Rice
0.036242153,0.279390633,1479,788,Rice
0.038677663,0.196791202,4212,1518,Rice
0.017942216,0.189318895,2189,1252,Rice
0.02608321,0.112830564,2870,1374,Rice
0.11260768,0.188063368,4280,2125,Rice
0.041012768,0.147281617,1445,1075,Rice
0.010713826,0.15821752,2615,1769,Rice
0.04860203,0.109820932,2467,1281,Rice
0.066644736,0.224685609,2639,1407,Rice
0.02122358,0.153310001,2248,755,Rice
0.119637676,0.142934263,3028,638,Rice
0.042792592,0.063384347,2349,1273,Rice
0.049762458,0.155031487,3253,1472,Rice
0.065103002,0.274429023,2830,1214,Rice
0.065751001,0.193599865,2533,822,Rice
0.039804142,0.178042606,1774,1307,Rice
0.009840837,0.017847851,3205,1005,Rice
0.021222418,0.274362326,2780,932,Rice
0.024401069,0.244154751,832,485,Rice
