Latitude and Longitude,Class of Land,Longitude,Latitude,Distance to center of the dataset,vh,vv,hh,hv
"10.323727047081501, 105.2516346045924",Rice,105.2516346045924,10.323727047081501,18.60941196066533,0.0653388574719429,0.13755947351455688,5671.0,1499.0
"10.322364360592521, 105.27843410554115",Rice,105.27843410554115,10.322364360592521,16.27462345094798,0.029045065864920616,0.10321031510829926,2808.0,1386.0
"10.321455902933202, 105.25254306225168",Rice,105.25254306225168,10.321455902933202,18.377516908890787,0.05654701218008995,0.27927178144454956,1880.0,766.0
"10.324181275911162, 105.25118037576274",Rice,105.25118037576274,10.324181275911162,18.679573088101858,0.035069700330495834,0.154607355594635,2815.0,981.0
"10.324635504740822, 105.27389181724476",Rice,105.27389181724476,10.324635504740822,16.810175665639342,0.04190303012728691,0.19119848310947418,2654.0,1346.0
"10.323727047081501, 105.28070524968936",Rice,105.28070524968936,10.323727047081501,16.200177286184733,0.13378584384918213,0.16840165853500366,2302.0,926.0
"10.325089733570481, 105.23937042619212",Rice,105.23937042619212,10.325089733570481,19.779034107915134,0.013499334454536438,0.05286579951643944,1939.0,1084.0
"10.324181275911162, 105.25390574874059",Rice,105.25390574874059,10.324181275911162,18.443833623314916,0.036314766854047775,0.07965078949928284,2019.0,1028.0
"10.321001674103542, 105.24436694331814",Rice,105.24436694331814,10.321001674103542,19.07022036676772,0.05174638703465462,0.27324455976486206,2380.0,923.0
"10.321001674103542, 105.2416415703403",Rice,105.2416415703403,10.321001674103542,19.31443164672821,0.0367438867688179,0.1293366700410843,2041.0,983.0
"10.324635504740822, 105.2557226640591",Rice,105.2557226640591,10.324635504740822,18.319113709875438,0.05947813764214516,0.06521720439195633,2078.0,1041.0
"10.321001674103542, 105.2334654514068",Rice,105.2334654514068,10.321001674103542,20.05582655387506,0.03318176418542862,0.1366703361272812,3380.0,1431.0
"10.32327281825184, 105.26753261362978",Rice,105.26753261362978,10.32327281825184,17.22787232322431,0.05612405389547348,0.19292326271533966,2311.0,928.0
"10.324181275911162, 105.28115947851899",Rice,105.28115947851899,10.324181275911162,16.200041393742218,0.0835992619395256,0.16250774264335632,3194.0,797.0
"10.321001674103542, 105.2598107235259",Rice,105.2598107235259,10.321001674103542,17.717598251385894,0.019799163565039635,0.07933568954467773,2571.0,1136.0
"10.32327281825184, 105.24073311268103",Rice,105.24073311268103,10.32327281825184,19.54061666647801,0.04553984850645065,0.32492920756340027,2327.0,1525.0
"10.324635504740822, 105.27843410554115",Rice,105.27843410554115,10.324635504740822,16.448859573118355,0.020103788003325462,0.11315435916185379,2834.0,670.0
"10.324181275911162, 105.2348281378957",Rice,105.2348281378957,10.324181275911162,20.128826942427825,0.0434398390352726,0.07370854169130325,2742.0,1636.0
"10.321455902933202, 105.23301122257715",Rice,105.23301122257715,10.321455902933202,20.125091820605565,0.0367189422249794,0.035414643585681915,2323.0,1038.0
"10.323727047081501, 105.26026495235556",Rice,105.26026495235556,10.323727047081501,17.869000222131397,0.014492400921881199,0.09830117970705032,3173.0,1419.0
"10.325089733570481, 105.28025102085971",Rice,105.28025102085971,10.325089733570481,16.34172946788272,0.09398424625396729,0.15488353371620178,3917.0,1397.0
"10.32009321644422, 105.23210276491787",Rice,105.23210276491787,10.32009321644422,20.125672778460547,0.04109993949532509,0.07076635211706161,3467.0,1370.0
"10.322364360592521, 105.27797987671151",Rice,105.27797987671151,10.322364360592521,16.310820035251147,0.024540254846215248,0.052236977964639664,2827.0,1424.0
"10.32327281825184, 105.27752564788187",Rice,105.27752564788187,10.32327281825184,16.416229891392078,0.015419811010360718,0.12229582667350769,2921.0,1160.0
"10.324635504740822, 105.2652614694816",Rice,105.2652614694816,10.324635504740822,17.515001395381965,0.06867088377475739,0.3785119652748108,1465.0,772.0
"10.320547445273881, 105.2266520189622",Rice,105.2266520189622,10.320547445273881,20.65607462644382,0.027385421097278595,0.12152214348316193,2387.0,801.0
"10.323727047081501, 105.2652614694816",Rice,105.2652614694816,10.323727047081501,17.449338861909254,0.05265476554632187,0.312404066324234,1443.0,705.0
"10.325089733570481, 105.23528236672536",Rice,105.23528236672536,10.325089733570481,20.145140476407803,0.03429862856864929,0.04328317567706108,2052.0,953.0
"10.324635504740822, 105.26798684245944",Rice,105.26798684245944,10.324635504740822,17.289957820656852,0.03590764105319977,0.14194369316101074,2410.0,855.0
"10.32281858942218, 105.26435301182232",Rice,105.26435301182232,10.32281858942218,17.460080162004957,0.008376793004572392,0.22885842621326447,1087.0,577.0
"10.325089733570481, 105.26344455416304",Rice,105.26344455416304,10.325089733570481,17.698909411577173,0.05152171105146408,0.39961060881614685,3202.0,1407.0
"10.323727047081501, 105.24572962980707",Rice,105.24572962980707,10.323727047081501,19.12635804766502,0.043637849390506744,0.14065104722976685,1832.0,638.0
"10.324635504740822, 105.2334654514068",Rice,105.2334654514068,10.324635504740822,20.280431789169704,0.03623662889003754,0.09444336593151093,2790.0,1240.0
"10.325089733570481, 105.23164853608824",Rice,105.23164853608824,10.325089733570481,20.473276041506352,0.03171034902334213,0.19732128083705902,4674.0,1638.0
"10.32327281825184, 105.26571569831123",Rice,105.26571569831123,10.32327281825184,17.37876181707856,0.045085784047842026,0.22078530490398407,1380.0,515.0
"10.31963898761456, 105.23074007842897",Rice,105.23074007842897,10.31963898761456,20.223953962867196,0.018830467015504837,0.20393215119838715,2923.0,913.0
"10.320547445273881, 105.22983162076967",Rice,105.22983162076967,10.320547445273881,20.362055067881244,0.021021738648414612,0.12487293034791946,4316.0,1646.0
"10.32281858942218, 105.28115947851899",Rice,105.28115947851899,10.32281858942218,16.094108964959112,0.036242153495550156,0.2793906331062317,1479.0,788.0
"10.321910131762861, 105.23028584959931",Rice,105.23028584959931,10.321910131762861,20.402302511703414,0.03867766261100769,0.19679120182991028,4212.0,1518.0
"10.324181275911162, 105.26071918118518",Rice,105.26071918118518,10.324181275911162,17.862653549139477,0.017942216247320175,0.18931889533996582,2189.0,1252.0
"10.325089733570481, 105.26026495235556",Rice,105.26026495235556,10.325089733570481,17.96531460399637,0.026083210483193398,0.11283056437969208,2870.0,1374.0
"10.325089733570481, 105.2448211721478",Rice,105.2448211721478,10.325089733570481,19.29621588653348,0.1126076802611351,0.1880633682012558,4280.0,2125.0
"10.324181275911162, 105.24300425682924",Rice,105.24300425682924,10.324181275911162,19.3971082904321,0.04101276770234108,0.14728161692619324,1445.0,1075.0
"10.32281858942218, 105.27570873256332",Rice,105.27570873256332,10.32281858942218,16.52708277113862,0.010713825933635235,0.15821751952171326,2615.0,1769.0
"10.323727047081501, 105.28252216500792",Rice,105.28252216500792,10.323727047081501,16.058519003114785,0.04860202968120575,0.10982093214988708,2467.0,1281.0
"10.31963898761456, 105.23937042619212",Rice,105.23937042619212,10.31963898761456,19.434028051040062,0.06664473563432693,0.22468560934066772,2639.0,1407.0
"10.32281858942218, 105.28161370734864",Rice,105.28161370734864,10.32281858942218,16.05850062362641,0.021223580464720726,0.15331000089645386,2248.0,755.0
"10.324635504740822, 105.28161370734864",Rice,105.28161370734864,10.324635504740822,16.200215537013477,0.11963767558336258,0.14293426275253296,3028.0,638.0
"10.32327281825184, 105.26117341001483",Rice,105.26117341001483,10.32327281825184,17.760112475465167,0.04279259219765663,0.06338434666395187,2349.0,1273.0
"10.32327281825184, 105.2788883343708",Rice,105.2788883343708,10.32327281825184,16.3081013234645,0.049762457609176636,0.1550314873456955,3253.0,1472.0
"10.324181275911162, 105.2516346045924",Rice,105.2516346045924,10.324181275911162,18.640158954298066,0.06510300189256668,0.2744290232658386,2830.0,1214.0
"10.323727047081501, 105.23982465502175",Rice,105.23982465502175,10.323727047081501,19.650948150407526,0.06575100123882294,0.1935998648405075,2533.0,822.0
"10.31963898761456, 105.23028584959931",Rice,105.23028584959931,10.31963898761456,20.265894882865354,0.03980414196848869,0.17804260551929474,1774.0,1307.0
"10.32327281825184, 105.28706445330431",Rice,105.28706445330431,10.32327281825184,15.67345491160803,0.009840836748480797,0.017847850918769836,3205.0,1005.0
"10.324181275911162, 105.27752564788187",Rice,105.27752564788187,10.324181275911162,16.4857012060323,0.021222418174147606,0.27436232566833496,2780.0,932.0
"10.323727047081501, 105.26480724065195",Rice,105.26480724065195,10.323727047081501,17.487199851458723,0.024401068687438965,0.24415475130081177,832.0,485.0
"10.321910131762861, 105.2266520189622",Rice,105.2266520189622,10.321910131762861,20.73685456503452,0.06772337853908539,0.5486597418785095,2398.0,970.0
"10.324181275911162, 105.25072614693312",Rice,105.25072614693312,10.324181275911162,18.719036179661625,0.013169816695153713,0.14868631958961487,2208.0,759.0
"10.32327281825184, 105.27071221543727",Rice,105.27071221543727,10.32327281825184,16.96619162141439,0.04947366565465927,0.2004828006029129,2990.0,795.0
"10.325089733570481, 105.25890226586662",Rice,105.25890226586662,10.325089733570481,18.080335749681637,0.053913626819849014,0.17065946757793427,2772.0,1494.0
"10.321455902933202, 105.25208883342202",Rice,105.25208883342202,10.321455902933202,18.417225241801933,0.021053258329629898,0.13001517951488495,2574.0,1395.0
"10.324635504740822, 105.26162763884446",Rice,105.26162763884446,10.324635504740822,17.8184009906683,0.014615505933761597,0.16605280339717865,3398.0,1160.0
"10.325089733570481, 105.28751868213396",Rice,105.28751868213396,10.325089733570481,15.785073330859783,0.009636959061026573,0.05536089837551117,3073.0,1514.0
"10.32009321644422, 105.24845500278491",Rice,105.24845500278491,10.32009321644422,18.647566487741894,0.019560515880584717,0.04393639788031578,3212.0,932.0
"10.324181275911162, 105.23982465502175",Rice,105.23982465502175,10.324181275911162,19.680066518397798,0.016092659905552864,0.17915594577789307,2104.0,1032.0
"10.31963898761456, 105.23891619736247",Rice,105.23891619736247,10.31963898761456,19.475260452399965,0.08430855721235275,0.19880400598049164,2753.0,1146.0
"10.325089733570481, 105.26389878299267",Rice,105.26389878299267,10.325089733570481,17.66108288576834,0.017056316137313843,0.10563347488641739,2828.0,1420.0
"10.321455902933202, 105.26117341001483",Rice,105.26117341001483,10.321455902933202,17.63268566972252,0.007162217516452074,0.050707798451185226,2039.0,1019.0
"10.319184758784901, 105.22710624779182",Rice,105.22710624779182,10.319184758784901,20.533823713622418,0.05009754002094269,0.13250809907913208,2216.0,1076.0
"10.321001674103542, 105.25254306225168",Rice,105.25254306225168,10.321001674103542,18.347163916395754,0.07057705521583557,0.2812618911266327,1499.0,873.0
"10.321455902933202, 105.23164853608824",Rice,105.23164853608824,10.321455902933202,20.249803888661773,0.031205976381897926,0.1193508505821228,2775.0,862.0
"10.324181275911162, 105.24936346044419",Rice,105.24936346044419,10.324181275911162,18.837716122142275,0.018790531903505325,0.09377942979335785,2145.0,644.0
"10.324181275911162, 105.27979679203008",Rice,105.27979679203008,10.324181275911162,16.30661425914649,0.050298191606998444,0.1328389048576355,2242.0,1154.0
